instance,conflict_threshold,action,status,time_to_best,time,obj_bound,obj_value
beasley\scpnrf3-3.txt,1,SCP-CS_QO,TIME_LIMIT,2055.8351078033447,3600.7466144561768,126.0,1564.0
beasley\scpnrf4-3.txt,1,SCP-CS_QO,TIME_LIMIT,1568.4897727966309,3600.6059913635254,123.0,1602.0
beasley\scpnrf5-3.txt,1,SCP-CS_QO,TIME_LIMIT,2647.6495933532715,3600.4027614593506,57.0,1590.0
beasley\scpnrg1-3.txt,1,SCP-CS_QO,TIME_LIMIT,2712.794952392578,3600.8544692993164,392.0,13234.0
beasley\scpnrg2-3.txt,1,SCP-CS_QO,TIME_LIMIT,241.7378635406494,3600.766159057617,372.0,13663.0
beasley\scpnrg3-3.txt,1,SCP-CS_QO,TIME_LIMIT,156.03218269348145,3600.7210636138916,407.0,14737.0
beasley\scpnrg4-3.txt,1,SCP-CS_QO,TIME_LIMIT,220.61032485961914,3600.6553344726562,395.0,14053.0
beasley\scpnrg5-3.txt,1,SCP-CS_QO,TIME_LIMIT,2770.2922973632812,3600.7643241882324,388.0,15077.0
beasley\scpnrh1-3.txt,1,SCP-CS_QO,TIME_LIMIT,2933.480577468872,3600.639472961426,121.0,12252.0
beasley\scpnrh2-3.txt,1,SCP-CS_QO,TIME_LIMIT,216.15714645385742,3600.8113079071045,126.0,12972.0
beasley\scpnrh3-3.txt,1,SCP-CS_QO,TIME_LIMIT,3245.950538635254,3600.5768756866455,120.0,12348.0
beasley\scpnrh4-3.txt,1,SCP-CS_QO,TIME_LIMIT,3591.154977798462,3600.795576095581,144.0,12000.0
beasley\scpnrh5-3.txt,1,SCP-CS_QO,TIME_LIMIT,2860.203266143799,3600.943841934204,109.0,12408.0
beasley\scp41-3.txt,2,SCP-CS_QO,OPTIMAL,1.9214935302734375,1.937124252319336,1108.0,1108.0
beasley\scp410-3.txt,2,SCP-CS_QO,OPTIMAL,1.8436717987060547,2.0780467987060547,1404.0,1404.0
beasley\scp42-3.txt,2,SCP-CS_QO,OPTIMAL,0.4688549041748047,2.171598434448242,1209.0,1209.0
beasley\scp43-3.txt,2,SCP-CS_QO,OPTIMAL,0.17146873474121094,0.9059181213378906,1113.0,1113.0
beasley\scp44-3.txt,2,SCP-CS_QO,OPTIMAL,2.015493392944336,2.2029685974121094,1192.0,1192.0
beasley\scp45-3.txt,2,SCP-CS_QO,OPTIMAL,1.5152931213378906,1.7028007507324219,1279.0,1279.0
beasley\scp46-3.txt,2,SCP-CS_QO,OPTIMAL,1.5625476837158203,3.1102561950683594,1302.0,1302.0
beasley\scp47-3.txt,2,SCP-CS_QO,OPTIMAL,2.655973434448242,2.843385696411133,1116.0,1116.0
beasley\scp48-3.txt,2,SCP-CS_QO,OPTIMAL,1.327718734741211,1.4370994567871094,1149.0,1149.0
beasley\scp49-3.txt,2,SCP-CS_QO,OPTIMAL,1.3119220733642578,2.293478012084961,1398.0,1398.0
beasley\scp51-3.txt,2,SCP-CS_QO,OPTIMAL,1.7494621276855469,1.9056949615478516,618.0,618.0
beasley\scp510-3.txt,2,SCP-CS_QO,OPTIMAL,0.7499332427978516,0.8592948913574219,642.0,642.0
beasley\scp52-3.txt,2,SCP-CS_QO,OPTIMAL,0.3748817443847656,0.9373855590820312,602.0,602.0
beasley\scp53-3.txt,2,SCP-CS_QO,OPTIMAL,1.6245174407958984,1.8276386260986328,627.0,627.0
beasley\scp54-3.txt,2,SCP-CS_QO,OPTIMAL,0.8123893737792969,0.9061412811279297,546.0,546.0
beasley\scp55-3.txt,2,SCP-CS_QO,OPTIMAL,0.24988174438476562,0.40614891052246094,528.0,528.0
beasley\scp56-3.txt,2,SCP-CS_QO,OPTIMAL,0.3276100158691406,0.34323883056640625,511.0,511.0
beasley\scp57-3.txt,2,SCP-CS_QO,OPTIMAL,1.9683513641357422,2.0933475494384766,764.0,764.0
beasley\scp58-3.txt,2,SCP-CS_QO,OPTIMAL,0.6248817443847656,1.4061279296875,650.0,650.0
beasley\scp59-3.txt,2,SCP-CS_QO,OPTIMAL,1.0155506134033203,1.0311851501464844,660.0,660.0
beasley\scp61-3.txt,2,SCP-CS_QO,TIME_LIMIT,696.0342903137207,3600.172067642212,1375.0,1807.0
beasley\scp62-3.txt,2,SCP-CS_QO,TIME_LIMIT,208.34465408325195,3600.187660217285,1260.0,2147.0
beasley\scp63-3.txt,2,SCP-CS_QO,TIME_LIMIT,952.4260139465332,3600.1876106262207,1430.0,2498.0
beasley\scp64-3.txt,2,SCP-CS_QO,TIME_LIMIT,2314.307065963745,3600.1720695495605,1299.0,1899.0
beasley\scp65-3.txt,2,SCP-CS_QO,TIME_LIMIT,629.8465213775635,3600.1563568115234,1385.0,1994.0
beasley\scpa1-3.txt,2,SCP-CS_QO,TIME_LIMIT,2917.2317295074463,3600.3439559936523,904.0,976.0
beasley\scpa2-3.txt,2,SCP-CS_QO,TIME_LIMIT,2540.604986190796,3600.812728881836,879.0,1127.0
beasley\scpa3-3.txt,2,SCP-CS_QO,TIME_LIMIT,1997.6352214813232,3601.034517288208,875.0,907.0
beasley\scpa4-3.txt,2,SCP-CS_QO,OPTIMAL,2775.200428009033,3238.9370155334473,946.0,946.0
beasley\scpa5-3.txt,2,SCP-CS_QO,OPTIMAL,255.90739631652832,1576.2883186340332,894.0,894.0
beasley\scpb1-3.txt,2,SCP-CS_QO,TIME_LIMIT,2966.044292449951,3600.3907775878906,446.0,2975.0
beasley\scpb2-3.txt,2,SCP-CS_QO,TIME_LIMIT,2203.915979385376,3600.3438873291016,487.0,3663.0
beasley\scpb3-3.txt,2,SCP-CS_QO,TIME_LIMIT,2857.9970302581787,3600.265802383423,459.0,3094.0
beasley\scpb4-3.txt,2,SCP-CS_QO,TIME_LIMIT,95.90668106079102,3600.3907413482666,419.0,3129.0
beasley\scpb5-3.txt,2,SCP-CS_QO,TIME_LIMIT,684.9718170166016,3600.406427383423,435.0,3185.0
beasley\scpc1-3.txt,2,SCP-CS_QO,TIME_LIMIT,138.84465980529785,3600.312641143799,717.0,1766.0
beasley\scpc2-3.txt,2,SCP-CS_QO,TIME_LIMIT,944.6916942596436,3600.1877574920654,706.0,1470.0
beasley\scpc3-3.txt,2,SCP-CS_QO,TIME_LIMIT,199.32899856567383,3600.657495498657,693.0,1746.0
beasley\scpc4-3.txt,2,SCP-CS_QO,TIME_LIMIT,3147.248586654663,3600.17236328125,699.0,1543.0
beasley\scpc5-3.txt,2,SCP-CS_QO,TIME_LIMIT,1715.507459640503,3601.172016143799,720.0,1533.0
beasley\scpclr10-3.txt,2,SCP-CS_QO,OPTIMAL,476.2207489013672,809.0190849304199,1871.0,1871.0
beasley\scpclr11-3.txt,2,SCP-CS_QO,TIME_LIMIT,1502.5533618927002,3600.1717948913574,1653.0,3446.0
beasley\scpclr12-3.txt,2,SCP-CS_QO,TIME_LIMIT,580.4088916778564,3601.3909759521484,1359.0,8142.0
beasley\scpclr13-3.txt,2,SCP-CS_QO,TIME_LIMIT,270.70425605773926,3604.0627269744873,150.0,21107.0
beasley\scpcyc06-3.txt,2,SCP-CS_QO,OPTIMAL,7.890586853027344,8.015565872192383,99.0,99.0
beasley\scpcyc07-3.txt,2,SCP-CS_QO,TIME_LIMIT,436.7519054412842,3600.656478881836,244.0,250.0
beasley\scpcyc08-3.txt,2,SCP-CS_QO,TIME_LIMIT,475.7208557128906,3600.953281402588,491.0,663.0
beasley\scpcyc09-3.txt,2,SCP-CS_QO,TIME_LIMIT,3230.390356063843,3615.126594543457,1025.0,1762.0
beasley\scpcyc10-3.txt,2,SCP-CS_QO,TIME_LIMIT,2989.095766067505,3600.3174438476562,2140.0,4594.0
beasley\scpcyc11-3.txt,2,SCP-CS_QO,TIME_LIMIT,3285.826934814453,3600.265670776367,4765.0,14388.0
beasley\scpd1-3.txt,2,SCP-CS_QO,TIME_LIMIT,1877.7576999664307,3600.624101638794,337.0,5634.0
beasley\scpd2-3.txt,2,SCP-CS_QO,TIME_LIMIT,477.64258766174316,3600.2960357666016,370.0,4485.0
beasley\scpd3-3.txt,2,SCP-CS_QO,TIME_LIMIT,316.0794277191162,3600.2335529327393,363.0,4890.0
beasley\scpd4-3.txt,2,SCP-CS_QO,TIME_LIMIT,985.6134223937988,3600.374011993408,332.0,7102.0
beasley\scpd5-3.txt,2,SCP-CS_QO,TIME_LIMIT,2171.4306659698486,3600.233413696289,340.0,4740.0
beasley\scpe1-3.txt,2,SCP-CS_QO,OPTIMAL,4.640537261962891,6.4998931884765625,23.0,23.0
beasley\scpe2-3.txt,2,SCP-CS_QO,OPTIMAL,4.124996185302734,10.250011444091797,25.0,25.0
beasley\scpe3-3.txt,2,SCP-CS_QO,OPTIMAL,5.593671798706055,9.24993896484375,23.0,23.0
beasley\scpe4-3.txt,2,SCP-CS_QO,OPTIMAL,4.093774795532227,9.859310150146484,22.0,22.0
beasley\scpe5-3.txt,2,SCP-CS_QO,OPTIMAL,6.187503814697266,6.734371185302734,24.999999999999897,25.0
beasley\scpnre1-3.txt,2,SCP-CS_QO,TIME_LIMIT,1033.3011741638184,3600.3429107666016,126.0,4296.0
beasley\scpnre2-3.txt,2,SCP-CS_QO,TIME_LIMIT,1963.820598602295,3600.3028926849365,120.0,4473.0
beasley\scpnre3-3.txt,2,SCP-CS_QO,TIME_LIMIT,2734.345109939575,3601.0524101257324,104.0,4595.0
beasley\scpnre4-3.txt,2,SCP-CS_QO,TIME_LIMIT,364.64246368408203,3600.3287029266357,112.0,4095.0
beasley\scpnre5-3.txt,2,SCP-CS_QO,TIME_LIMIT,383.3609981536865,3600.311954498291,108.0,4536.0
beasley\scpnrf1-3.txt,2,SCP-CS_QO,TIME_LIMIT,2203.415481567383,3600.3744792938232,40.0,1546.0
beasley\scpnrf2-3.txt,2,SCP-CS_QO,TIME_LIMIT,1777.7730922698975,3600.2963733673096,63.0,1602.0
beasley\scpnrf3-3.txt,2,SCP-CS_QO,TIME_LIMIT,1058.4888019561768,3600.390115737915,117.0,1556.0
beasley\scpnrf4-3.txt,2,SCP-CS_QO,TIME_LIMIT,2735.855236053467,3600.765054702759,108.0,1533.0
beasley\scpnrf5-3.txt,2,SCP-CS_QO,TIME_LIMIT,1857.5859127044678,3600.7494831085205,73.0,1353.0
beasley\scpnrg1-3.txt,2,SCP-CS_QO,TIME_LIMIT,2453.886459350586,3603.3635845184326,348.0,6110.0
beasley\scpnrg2-3.txt,2,SCP-CS_QO,TIME_LIMIT,53.81295204162598,3602.2385272979736,325.0,7114.0
beasley\scpnrg3-3.txt,2,SCP-CS_QO,TIME_LIMIT,66.96905899047852,3602.062931060791,349.0,7779.0
beasley\scpnrg4-3.txt,2,SCP-CS_QO,TIME_LIMIT,2525.542121887207,3602.077932357788,374.0,6653.0
beasley\scpnrg5-3.txt,2,SCP-CS_QO,TIME_LIMIT,2470.8856525421143,3601.9841632843018,340.0,8521.0
beasley\scpnrh1-3.txt,2,SCP-CS_QO,TIME_LIMIT,2244.7752952575684,3600.5936183929443,122.0,11370.0
beasley\scpnrh2-3.txt,2,SCP-CS_QO,TIME_LIMIT,3047.0600910186768,3601.124855041504,138.0,10887.0
beasley\scpnrh3-3.txt,2,SCP-CS_QO,TIME_LIMIT,3249.8421058654785,3600.687297821045,115.0,10951.0
beasley\scpnrh4-3.txt,2,SCP-CS_QO,TIME_LIMIT,3025.809949874878,3600.593677520752,118.0,10599.0
beasley\scpnrh5-3.txt,2,SCP-CS_QO,TIME_LIMIT,114.87553024291992,3600.565725326538,117.0,11307.0
